GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
CanESM5,r9i1p1f1,ssp245,2026-06-16 00:00:00,2037-10-16 12:00:00,2050-03-16 12:00:00,2063-09-16 00:00:00,
CanESM5,r17i1p1f1,ssp585,2027-10-16 12:00:00,2036-03-16 12:00:00,2043-10-16 12:00:00,2050-01-16 12:00:00,2062-02-15 00:00:00
CanESM5,r17i1p1f1,ssp370,2027-01-16 12:00:00,2036-11-16 00:00:00,2046-03-16 12:00:00,2053-12-16 12:00:00,2070-01-16 12:00:00
CanESM5,r17i1p1f1,ssp245,2028-10-16 12:00:00,2041-04-16 00:00:00,2052-11-16 00:00:00,2069-03-16 12:00:00,
CanESM5,r7i1p2f1,ssp585,2024-06-16 00:00:00,2033-12-16 12:00:00,2041-08-16 12:00:00,2048-06-16 00:00:00,2061-02-15 00:00:00
CanESM5,r7i1p2f1,ssp370,2025-07-16 12:00:00,2036-10-16 12:00:00,2044-09-16 00:00:00,2052-02-15 00:00:00,2067-05-16 12:00:00
CanESM5,r7i1p2f1,ssp245,2026-01-16 12:00:00,2039-07-16 12:00:00,2050-01-16 12:00:00,2065-03-16 12:00:00,
CanESM5,r11i1p1f1,ssp585,2026-08-16 12:00:00,2035-07-16 12:00:00,2042-11-16 00:00:00,2048-10-16 12:00:00,2060-05-16 12:00:00
CanESM5,r11i1p1f1,ssp370,2027-05-16 12:00:00,2035-10-16 12:00:00,2043-09-16 00:00:00,2051-12-16 12:00:00,2068-11-16 00:00:00
CanESM5,r11i1p1f1,ssp245,2028-05-16 12:00:00,2039-06-16 00:00:00,2052-06-16 00:00:00,2064-05-16 12:00:00,
CanESM5,r16i1p2f1,ssp585,2028-03-16 12:00:00,2035-10-16 12:00:00,2042-09-16 00:00:00,2049-02-15 00:00:00,2060-12-16 12:00:00
CanESM5,r16i1p2f1,ssp370,2026-08-16 12:00:00,2035-02-15 00:00:00,2043-03-16 12:00:00,2051-03-16 12:00:00,2067-07-16 12:00:00
CanESM5,r16i1p2f1,ssp245,2028-11-16 00:00:00,2040-07-16 12:00:00,2050-12-16 12:00:00,2063-12-16 12:00:00,
CanESM5,r13i1p2f1,ssp585,2024-10-16 12:00:00,2034-02-15 00:00:00,2042-04-16 00:00:00,2048-11-16 00:00:00,2060-04-16 00:00:00
CanESM5,r13i1p2f1,ssp370,2026-04-16 00:00:00,2034-12-16 12:00:00,2043-12-16 12:00:00,2052-01-16 12:00:00,2067-11-16 00:00:00
CanESM5,r13i1p2f1,ssp245,2025-06-16 00:00:00,2039-01-16 12:00:00,2053-04-16 00:00:00,2064-05-16 12:00:00,
